Scenario,item,Case Sizes
2 x Zebra Printer,Zebra Printer,"OWR Blue Crate/Tub/Tote Box - Medium (OWR%20Blue%20Crate%20Tub%20Tote%20Box%20-%20Medium%20c3f2e77dc37d491eb24b2952f1edf613.md), OWR Blue Crate/Tub/Tote Box - Small (OWR%20Blue%20Crate%20Tub%20Tote%20Box%20-%20Small%2092e83015495a480ebb846578a92bbcf0.md)"
1 x Epson TM-C3500,Epson Printer,"OWR Blue Crate/Tub/Tote Box - Medium (OWR%20Blue%20Crate%20Tub%20Tote%20Box%20-%20Medium%20c3f2e77dc37d491eb24b2952f1edf613.md), OWR Blue Crate/Tub/Tote Box - Small (OWR%20Blue%20Crate%20Tub%20Tote%20Box%20-%20Small%2092e83015495a480ebb846578a92bbcf0.md)"
